Data Type,Message Name,Prepack Code,Postpack Check,Postparse Check
ReportGlobalPathSegmentMessage,reportGlobalPathSegmentMessage, ,jausMessage->dataSize == 0,0
ReportGlobalPoseMessage,reportGlobalPoseMessage, ,jausMessage->dataSize == 0,0
ReportGlobalVectorMessage,reportGlobalVectorMessage, ,jausMessage->dataSize == 0,0
ReportGlobalWaypointMessage,reportGlobalWaypointMessage, ,jausMessage->dataSize == 0,0
ReportHeartbeatPulseMessage,reportHeartbeatPulseMessage, ,jausMessage->dataSize != 0,0
ReportIdentificationMessage,reportIdentificationMessage, ,jausMessage->dataSize == 0,0
ReportImageMessage,reportImageMessage, ,jausMessage->dataSize == 0,0
ReportJointEffortsMessage,reportJointEffortsMessage, ,jausMessage->dataSize == 0,0
ReportJointForceTorquesMessage,reportJointForceTorquesMessage, ,jausMessage->dataSize == 0,0
ReportJointPositionsMessage,reportJointPositionsMessage, ,jausMessage->dataSize == 0,0
ReportJointVelocitiesMessage,reportJointVelocitiesMessage, ,jausMessage->dataSize == 0,0
ReportLocalPathSegmentMessage,reportLocalPathSegmentMessage, ,jausMessage->dataSize == 0,0
ReportLocalPoseMessage,reportLocalPoseMessage, ,jausMessage->dataSize == 0,0
ReportLocalVectorMessage,reportLocalVectorMessage, ,jausMessage->dataSize == 0,0
ReportLocalWaypointMessage,reportLocalWaypointMessage, ,jausMessage->dataSize == 0,0
ReportManipulatorSpecificationsMessage,reportManipulatorSpecificationsMessage, ,jausMessage->dataSize == 0,0
ReportPathSegmentCountMessage,reportPathSegmentCountMessage, ,jausMessage->dataSize == 0,0
ReportPayloadDataElementMessage,reportPayloadDataElementMessage, ,jausMessage->dataSize == 0,0
ReportPayloadInterfaceMessage,reportPayloadInterfaceMessage, ,jausMessage->dataSize == 0,0
ReportPlatformOperationalDataMessage,reportPlatformOperationalDataMessage, ,jausMessage->dataSize == 0,0
ReportPlatformSpecificationsMessage,reportPlatformSpecificationsMessage, ,jausMessage->dataSize == 0,0
ReportRelativeObjectPositionMessage,reportRelativeObjectPositionMessage, ,jausMessage->dataSize == 0,0
ReportSelectedCameraMessage,reportSelectedCameraMessage, ,jausMessage->dataSize == 0,0
ReportSelectedDataLinkStatusMessage,reportSelectedDataLinkStatusMessage, ,jausMessage->dataSize == 0,0
ReportServicesMessage,reportServicesMessage, ,jausMessage->dataSize == 0,0
ReportSubsystemListMessage,reportSubsystemListMessage, ,jausMessage->dataSize == 0,0
ReportTimeMessage,reportTimeMessage, ,jausMessage->dataSize == 0,0
ReportToolPointMessage,reportToolPointMessage, ,jausMessage->dataSize == 0,0
ReportTravelSpeedMessage,reportTravelSpeedMessage, ,jausMessage->dataSize == 0,0
ReportVelocityStateMessage,reportVelocityStateMessage, ,jausMessage->dataSize == 0,0
ReportVksBoundsMessage,reportVksBoundsMessage, ,jausMessage->dataSize == 0,0
ReportVksDataTransferTerminationMessage,reportVksDataTransferTerminationMessage, ,jausMessage->dataSize != 0,0
ReportVksFeatureClassMetadataMessage,reportVksFeatureClassMetadataMessage, ,jausMessage->dataSize == 0,0
ReportVksObjectsCreationMessage,reportVksObjectsCreationMessage, ,jausMessage->dataSize == 0,0
ReportVksObjectsMessage,reportVksObjectsMessage, ,jausMessage->dataSize == 0,0
ReportWaypointCountMessage,reportWaypointCountMessage, ,jausMessage->dataSize == 0,0
ReportWrenchEffortMessage,reportWrenchEffortMessage, ,jausMessage->dataSize == 0,0
RequestComponentControlMessage,requestComponentControlMessage, ,jausMessage->dataSize == 0,0
ResetMessage,resetMessage, ,jausMessage->dataSize != 0,0
ResumeMessage,resumeMessage, ,jausMessage->dataSize != 0,0
SelectCameraMessage,selectCameraMessage, ,jausMessage->dataSize == 0,0
SetCameraCapabilitiesMessage,setCameraCapabilitiesMessage, ,jausMessage->dataSize == 0,0
SetCameraFormatOptionsMessage,setCameraFormatOptionsMessage, ,jausMessage->dataSize == 0,0
SetCameraPoseMessage,setCameraPoseMessage, ,jausMessage->dataSize == 0,0
SetComponentAuthorityMessage,setComponentAuthorityMessage, ,jausMessage->dataSize == 0,0
SetDataLinkSelectMessage,setDataLinkSelectMessage, ,jausMessage->dataSize == 0,0
SetDataLinkStatusMessage,setDataLinkStatusMessage, ,jausMessage->dataSize == 0,0
SetDiscreteDevicesMessage,setDiscreteDevicesMessage, ,jausMessage->dataSize == 0,0
SetEmergencyMessage,setEmergencyMessage, ,jausMessage->dataSize == 0,0
SetEndEffectorPathMotionMessage,setEndEffectorPathMotionMessage, ,jausMessage->dataSize == 0,0
SetEndEffectorPoseMessage,setEndEffectorPoseMessage, ,jausMessage->dataSize == 0,0
SetEndEffectorVelocityStateMessage,setEndEffectorVelocityStateMessage, ,jausMessage->dataSize == 0,0
SetGlobalPathSegmentMessage,setGlobalPathSegmentMessage, ,jausMessage->dataSize == 0,0
SetGlobalVectorMessage,setGlobalVectorMessage, ,jausMessage->dataSize == 0,0
SetGlobalWaypointMessage,setGlobalWaypointMessage, ,jausMessage->dataSize == 0,0
SetJointEffortsMessage,setJointEffortsMessage, ,jausMessage->dataSize == 0,0
SetJointMotionMessage,setJointMotionMessage, ,jausMessage->dataSize == 0,0
SetJointPositionsMessage,setJointPositionsMessage, ,jausMessage->dataSize == 0,0
SetJointVelocitiesMessage,setJointVelocitiesMessage, ,jausMessage->dataSize == 0,0
SetLocalPathSegmentMessage,setLocalPathSegmentMessage, ,jausMessage->dataSize == 0,0
SetLocalVectorMessage,setLocalVectorMessage, ,jausMessage->dataSize == 0,0
SetLocalWaypointMessage,setLocalWaypointMessage, ,jausMessage->dataSize == 0,0
SetSelectedDataLinkStateMessage,setSelectedDataLinkStateMessage, ,jausMessage->dataSize == 0,0
SetTimeMessage,setTimeMessage, ,jausMessage->dataSize == 0,0
SetToolPointMessage,setToolPointMessage, ,jausMessage->dataSize == 0,0
SetTravelSpeedMessage,setTravelSpeedMessage, ,jausMessage->dataSize == 0,0
SetVelocityStateMessage,setVelocityStateMessage, ,jausMessage->dataSize == 0,0
SetVksFeatureClassMetadataMessage,setVksFeatureClassMetadataMessage, ,jausMessage->dataSize == 0,0
SetWrenchEffortMessage,setWrenchEffortMessage, ,jausMessage->dataSize == 0,0
ShutdownMessage,shutdownMessage, ,jausMessage->dataSize != 0,0
StandbyMessage,standbyMessage, ,jausMessage->dataSize != 0,0
SuspendServiceConnectionMessage,suspendServiceConnectionMessage, ,jausMessage->dataSize == 0,0
TerminateServiceConnectionMessage,terminateServiceConnectionMessage, ,jausMessage->dataSize == 0,0
TerminateVksDataTransferMessage,terminateVksDataTransferMessage, ,jausMessage->dataSize != 0,0
UpdateEventMessage,updateEventMessage, ,jausMessage->dataSize == 0,0
